location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population
Georgia,2/26/2020,1,1,0,0,0,0,0,0,3979773
Georgia,2/27/2020,1,0,0,0,0,0,0,0,3979773
Georgia,2/28/2020,1,0,0,0,0,0,0,0,3979773
Georgia,2/29/2020,1,0,0,0,0,0,0,0,3979773
Georgia,3/1/2020,3,2,0,0,0,0,0,0,3979773
Georgia,3/2/2020,3,0,0,0,0,0,0,0,3979773
Georgia,3/3/2020,3,0,0,0,0,0,0,0,3979773
Georgia,3/4/2020,3,0,0,0,0,0,0,0,3979773
Georgia,3/5/2020,4,1,0,0,0,0,0,0,3979773
Georgia,3/6/2020,4,0,0,0,0,0,0,0,3979773
Georgia,3/7/2020,4,0,0,0,0,0,0,0,3979773
Georgia,3/8/2020,13,9,0,0,0,0,0,0,3979773
Georgia,3/9/2020,15,2,0,0,0,0,0,0,3979773
Georgia,3/10/2020,15,0,0,0,0,0,0,0,3979773
Georgia,3/11/2020,24,9,0,0,0,0,0,0,3979773
Georgia,3/12/2020,24,0,0,0,0,0,0,0,3979773
Georgia,3/13/2020,25,1,0,0,0,0,0,0,3979773
Georgia,3/14/2020,30,5,0,0,0,0,0,0,3979773
Georgia,3/15/2020,33,3,0,0,0,0,0,0,3979773
Georgia,3/16/2020,33,0,0,0,0,0,0,0,3979773
Georgia,3/17/2020,34,1,0,0,0,0,0,0,3979773
Georgia,3/18/2020,38,4,0,0,0,0,0,0,3979773
Georgia,3/19/2020,40,2,0,0,0,0,0,0,3979773
Georgia,3/20/2020,43,3,0,0,0,0,0,0,3979773
Georgia,3/21/2020,49,6,0,0,0,0,0,0,3979773
Georgia,3/22/2020,54,5,0,0,0,0,0,0,3979773
Georgia,3/23/2020,61,7,0,0,0,0,0,0,3979773
Georgia,3/24/2020,70,9,0,0,0,0,0,0,3979773
Georgia,3/25/2020,75,5,0,0,0,0,0,0,3979773
Georgia,3/26/2020,79,4,0,0,0,0,0,0,3979773
Georgia,3/27/2020,83,4,0,0,0,0,0,0,3979773
Georgia,3/28/2020,90,7,0,0,0,0,0,0,3979773
Georgia,3/29/2020,91,1,0,0,0,0,0,0,3979773
Georgia,3/30/2020,103,12,0,0,0,0,0,0,3979773
Georgia,3/31/2020,110,7,0,0,0,0,0,0,3979773
Georgia,4/1/2020,117,7,0,0,0,0,0,0,3979773
Georgia,4/2/2020,134,17,0,0,0,0,0,0,3979773
